Bean_Origin,Average of Rating,,,Num_Ingredients,Average of Rating,,,,
Australia,3.25,,,1.00,3.0625,,,,
Belize,3.233552632,,,2.00,3.2,,,,
Blend,3.038461538,,,3.00,3.260536398,,,,
Bolivia,3.18125,,,4.00,3.112244898,,,,
Brazil,3.262820513,,,5.00,3.06625,,,,
Burma,3,,,6.00,2.9375,,,,
Cameroon,3.083333333,,,Grand Total,3.196343874,,,,
China,3.5,,,,,,,,
Colombia,3.196202532,,,,,,,,
Congo,3.318181818,,,,,,,,
Costa Rica,3.151162791,,,,,,,,
Cuba,3.291666667,,,Row Labels,Count of Bar_Name,,,,
Dominican Republic,3.215707965,,,Australia,3,,,,
DR Congo,3,,,Belize,76,,,,
Ecuador,3.164383562,,,Blend,156,,,,
El Salvador,3,,,Bolivia,80,,,,
Fiji,3.0625,,,Brazil,78,,,,
Gabon,3.25,,,Burma,1,,,,
Ghana,3.134146341,,,Cameroon,3,,,,
Grenada,3.026315789,,,China,1,,,,
Guatemala,3.258064516,,,Colombia,79,,,,
Haiti,3.266666667,,,Congo,11,,,,
Honduras,3.24,,,Costa Rica,43,,,,
India,3.164285714,,,Cuba,12,,,,
Indonesia,3.1125,,,Dominican Republic,226,,,,
Ivory Coast,2.857142857,,,DR Congo,1,,,,
Jamaica,3.197916667,,,Ecuador,219,,,,
Liberia,3.083333333,,,El Salvador,6,,,,
Madagascar,3.266949153,,,Fiji,16,,,,
Malaysia,3.09375,,,Gabon,1,,,,
Martinique,2.75,,,Ghana,41,,,,
Mexico,3.168181818,,,Grenada,19,,,,
Nicaragua,3.255,,,Guatemala,62,,,,
Nigeria,3,,,Haiti,30,,,,
Panama,3.111111111,,,Honduras,25,,,,
Papua New Guinea,3.28,,,India,35,,,,
Peru,3.197745902,,,Indonesia,20,,,,
Philippines,3.125,,,Ivory Coast,7,,,,
Principe,2.75,,,Jamaica,24,,,,
Puerto Rico,2.714285714,,,Liberia,3,,,,
Samoa,3.083333333,,,Madagascar,177,,,,
Sao Tome,3.071428571,,,Malaysia,8,,,,
Sao Tome & Principe,3.5,,,Martinique,1,,,,
Sierra Leone,2.75,,,Mexico,55,,,,
Solomon Islands,3.45,,,Nicaragua,100,,,,
Sri Lanka,2.875,,,Nigeria,3,,,,
St. Lucia,2.95,,,Panama,9,,,,
St.Vincent-Grenadines,2.75,,,Papua New Guinea,50,,,,
Sulawesi,3.25,,,Peru,244,,,,
Sumatra,3,,,Philippines,24,,,,
Suriname,3.25,,,Principe,1,,,,
Taiwan,2.875,,,Puerto Rico,7,,,,
Tanzania,3.234177215,,,Samoa,3,,,,
Thailand,3.3,,,Sao Tome,14,,,,
Tobago,3.625,,,Sao Tome & Principe,2,,,,
Togo,3.083333333,,,Sierra Leone,4,,,,
Trinidad,3.244047619,,,Solomon Islands,10,,,,
U.S.A.,3.242424242,,,Sri Lanka,2,,,,
Uganda,3.065789474,,,St. Lucia,10,,,,
Vanuatu,3.115384615,,,St.Vincent-Grenadines,1,,,,
Venezuela,3.231225296,,,Sulawesi,1,,,,
Vietnam,3.287671233,,,Sumatra,1,,,,
Grand Total,3.196343874,,,Suriname,1,,,,
,,,,Taiwan,2,,,,
,,,,Tanzania,79,,,,
,,,,Thailand,5,,,,
,,,,Tobago,2,,,,
,,,,Togo,3,,,,
,,,,Trinidad,42,,,,
,,,,U.S.A.,33,,,,
,,,,Uganda,19,,,,
,,,,Vanuatu,13,,,,
,,,,Venezuela,253,,,,
,,,,Vietnam,73,,,,
,,,,Grand Total,2530,,,,
